"PERSON_ID","PLAYER_NAME","SEASON","ROUND_NUMBER","ROUND_PICK","OVERALL_PICK","DRAFT_TYPE","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","ORGANIZATION","ORGANIZATION_TYPE","PLAYER_PROFILE_FLAG"
"200781","Paul Davis","2006","2","4","34","Draft","1610612746","Los Angeles","Clippers","LAC","Michigan State","College/University","1"
"201174","Nick Fazekas","2007","2","4","34","Draft","1610612742","Dallas","Mavericks","DAL","Nevada-Reno","College/University","1"
"201596","Mario Chalmers","2008","2","4","34","Draft","1610612750","Minnesota","Timberwolves","MIN","Kansas","College/University","1"
"201968","Sergio Llull","2009","2","4","34","Draft","1610612743","Denver","Nuggets","DEN","Real Madrid Baloncesto (Spain)","Other Team/Club","0"
"202356","Armon Johnson","2010","2","4","34","Draft","1610612757","Portland","Trail Blazers","POR","Nevada-Reno","College/University","1"
"202714","Shelvin Mack","2011","2","4","34","Draft","1610612764","Washington","Wizards","WAS","Butler","College/University","1"
"203109","Jae Crowder","2012","2","4","34","Draft","1610612739","Cleveland","Cavaliers","CLE","Marquette","College/University","1"
"203477","Isaiah Canaan","2013","2","4","34","Draft","1610612745","Houston","Rockets","HOU","Murray State","College/University","1"
"203921","Cleanthony Early","2014","2","4","34","Draft","1610612752","New York","Knicks","NYK","Wichita State","College/University","1"
"1626148","Anthony Brown","2015","2","4","34","Draft","1610612747","Los Angeles","Lakers","LAL","Stanford","College/University","1"
"1627755","Tyler Ulis","2016","2","4","34","Draft","1610612756","Phoenix","Suns","PHX","Kentucky","College/University","1"
"1628412","Frank Mason III","2017","2","4","34","Draft","1610612758","Sacramento","Kings","SAC","Kansas","College/University","1"
"1628984","Devonte' Graham","2018","2","4","34","Draft","1610612737","Atlanta","Hawks","ATL","Kansas","College/University","1"
"1628981","Bruno Fernando","2019","2","4","34","Draft","1610612755","Philadelphia","76ers","PHI","Maryland","College/University","1"
"1630177","Theo Maledon","2020","2","4","34","Draft","1610612755","Philadelphia","76ers","PHI","ASVEL Basket (France)","Other Team/Club","1"
"1630599","Rokas Jokubaitis","2021","2","4","34","Draft","1610612760","Oklahoma City","Thunder","OKC","BC Zalgiris (Lithuania)","Other Team/Club","0"
"1631119","Jaylin Williams","2022","2","4","34","Draft","1610612760","Oklahoma City","Thunder","OKC","Arkansas","College/University","1"
"1641732","Colby Jones","2023","2","4","34","Draft","1610612766","Charlotte","Hornets","CHA","Xavier","College/University","1"
