"PERSON_ID","PLAYER_NAME","SEASON","ROUND_NUMBER","ROUND_PICK","OVERALL_PICK","DRAFT_TYPE","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","ORGANIZATION","ORGANIZATION_TYPE","PLAYER_PROFILE_FLAG"
"200759","Cedric Simmons","2006","1","15","15","Draft","1610612740","New Orleans/Oklahoma City","Hornets","NOK","North Carolina State","College/University","1"
"201155","Rodney Stuckey","2007","1","15","15","Draft","1610612765","Detroit","Pistons","DET","Eastern Washington","College/University","1"
"201577","Robin Lopez","2008","1","15","15","Draft","1610612756","Phoenix","Suns","PHX","Stanford","College/University","1"
"201948","Austin Daye","2009","1","15","15","Draft","1610612765","Detroit","Pistons","DET","Gonzaga","College/University","1"
"202336","Larry Sanders","2010","1","15","15","Draft","1610612749","Milwaukee","Bucks","MIL","Virginia Commonwealth","College/University","1"
"202695","Kawhi Leonard","2011","1","15","15","Draft","1610612754","Indiana","Pacers","IND","San Diego State","College/University","1"
"203090","Maurice Harkless","2012","1","15","15","Draft","1610612755","Philadelphia","76ers","PHI","St. John's (NY)","College/University","1"
"203507","Giannis Antetokounmpo","2013","1","15","15","Draft","1610612749","Milwaukee","Bucks","MIL","Basket Zaragoza 2002 (Spain)","Other Team/Club","1"
"203940","Adreian Payne","2014","1","15","15","Draft","1610612737","Atlanta","Hawks","ATL","Michigan State","College/University","1"
"1626162","Kelly Oubre Jr.","2015","1","15","15","Draft","1610612737","Atlanta","Hawks","ATL","Kansas","College/University","1"
"1627823","Juancho Hernangomez","2016","1","15","15","Draft","1610612743","Denver","Nuggets","DEN","Movistar Estudiantes","Other Team/Club","1"
"1628382","Justin Jackson","2017","1","15","15","Draft","1610612757","Portland","Trail Blazers","POR","North Carolina","College/University","1"
"1628972","Troy Brown Jr.","2018","1","15","15","Draft","1610612764","Washington","Wizards","WAS","Oregon","College/University","1"
"1629635","Sekou Doumbouya","2019","1","15","15","Draft","1610612765","Detroit","Pistons","DET","Limoges CSP (France)","Other Team/Club","1"
"1630175","Cole Anthony","2020","1","15","15","Draft","1610612753","Orlando","Magic","ORL","North Carolina","College/University","1"
"1630557","Corey Kispert","2021","1","15","15","Draft","1610612764","Washington","Wizards","WAS","Gonzaga","College/University","1"
"1631109","Mark Williams","2022","1","15","15","Draft","1610612766","Charlotte","Hornets","CHA","Duke","College/University","1"
"1641723","Kobe Bufkin","2023","1","15","15","Draft","1610612737","Atlanta","Hawks","ATL","Michigan","College/University","1"
