"PERSON_ID","PLAYER_NAME","SEASON","ROUND_NUMBER","ROUND_PICK","OVERALL_PICK","DRAFT_TYPE","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","ORGANIZATION","ORGANIZATION_TYPE","PLAYER_PROFILE_FLAG"
"200771","Sergio Rodriguez","2006","1","27","27","Draft","1610612756","Phoenix","Suns","PHX","CB Estudiantes (Spain)","Other Team/Club","1"
"201167","Arron Afflalo","2007","1","27","27","Draft","1610612765","Detroit","Pistons","DET","California-Los Angeles","College/University","1"
"201589","Darrell Arthur","2008","1","27","27","Draft","1610612740","New Orleans","Hornets","NOH","Kansas","College/University","1"
"201960","DeMarre Carroll","2009","1","27","27","Draft","1610612763","Memphis","Grizzlies","MEM","Missouri","College/University","1"
"202348","Jordan Crawford","2010","1","27","27","Draft","1610612751","New Jersey","Nets","NJN","Xavier","College/University","1"
"202707","JaJuan Johnson","2011","1","27","27","Draft","1610612751","New Jersey","Nets","NJN","Purdue","College/University","1"
"203102","Arnett Moultrie","2012","1","27","27","Draft","1610612748","Miami","Heat","MIA","Mississippi State","College/University","1"
"203497","Rudy Gobert","2013","1","27","27","Draft","1610612743","Denver","Nuggets","DEN","Cholet Basket (France)","Other Team/Club","1"
"203992","Bogdan Bogdanovic","2014","1","27","27","Draft","1610612756","Phoenix","Suns","PHX","KK Partizan (Serbia)","Other Team/Club","1"
"1626204","Larry Nance Jr.","2015","1","27","27","Draft","1610612747","Los Angeles","Lakers","LAL","Wyoming","College/University","1"
"1627783","Pascal Siakam","2016","1","27","27","Draft","1610612761","Toronto","Raptors","TOR","New Mexico State","College/University","1"
"1628398","Kyle Kuzma","2017","1","27","27","Draft","1610612751","Brooklyn","Nets","BKN","Utah","College/University","1"
"1629057","Robert Williams III","2018","1","27","27","Draft","1610612738","Boston","Celtics","BOS","Texas A&M","College/University","1"
"1629662","Mfiondu Kabengele","2019","1","27","27","Draft","1610612751","Brooklyn","Nets","BKN","Florida State","College/University","1"
"1628962","Udoka Azubuike","2020","1","27","27","Draft","1610612762","Utah","Jazz","UTA","Kansas","College/University","1"
"1630560","Cam Thomas","2021","1","27","27","Draft","1610612751","Brooklyn","Nets","BKN","Louisiana State","College/University","1"
"1631107","Nikola Jovic","2022","1","27","27","Draft","1610612748","Miami","Heat","MIA","KK Mega Leks (Serbia)","Other Team/Club","1"
"1641733","Nick Smith Jr.","2023","1","27","27","Draft","1610612766","Charlotte","Hornets","CHA","Arkansas","College/University","1"
