"PERSON_ID","PLAYER_NAME","SEASON","ROUND_NUMBER","ROUND_PICK","OVERALL_PICK","DRAFT_TYPE","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","ORGANIZATION","ORGANIZATION_TYPE","PLAYER_PROFILE_FLAG"
"200806","Damir Markota","2006","2","29","59","Draft","1610612759","San Antonio","Spurs","SAS","KK Cibona (Croatia)","Other Team/Club","1"
"201199","DJ Strawberry","2007","2","29","59","Draft","1610612756","Phoenix","Suns","PHX","Maryland","College/University","1"
"201622","Deron Washington","2008","2","29","59","Draft","1610612765","Detroit","Pistons","DET","Virginia Tech","College/University","1"
"201992","Chinemelu Elonu","2009","2","29","59","Draft","1610612747","Los Angeles","Lakers","LAL","Texas A&M","College/University","0"
"202383","Stanley Robinson","2010","2","29","59","Draft","1610612753","Orlando","Magic","ORL","Connecticut","College/University","1"
"202737","Adam Hanga","2011","2","29","59","Draft","1610612759","San Antonio","Spurs","SAS","Alba Fehervar (Hungary)","Other Team/Club","0"
"203134","Marcus Denmon","2012","2","29","59","Draft","1610612759","San Antonio","Spurs","SAS","Missouri","College/University","0"
"203532","Bojan Dubljevic","2013","2","29","59","Draft","1610612750","Minnesota","Timberwolves","MIN","Valencia BC (Spain)","Other Team/Club","0"
"203904","Xavier Thames","2014","2","29","59","Draft","1610612761","Toronto","Raptors","TOR","San Diego State","College/University","0"
"1626231","Dimitrios Agravanis","2015","2","29","59","Draft","1610612737","Atlanta","Hawks","ATL","Olympiacos B.C. (Greece)","Other Team/Club","0"
"1627766","Isaiah Cousins","2016","2","29","59","Draft","1610612758","Sacramento","Kings","SAC","Oklahoma","College/University","1"
"1628417","Jaron Blossomgame","2017","2","29","59","Draft","1610612759","San Antonio","Spurs","SAS","Clemson","College/University","1"
"1628994","George King","2018","2","29","59","Draft","1610612756","Phoenix","Suns","PHX","Colorado","College/University","1"
"1629608","Dewan Hernandez","2019","2","29","59","Draft","1610612761","Toronto","Raptors","TOR","Miami (FL)","College/University","1"
"1630223","Jalen Harris","2020","2","29","59","Draft","1610612761","Toronto","Raptors","TOR","Nevada-Reno","College/University","1"
"1630564","RaiQuan Gray","2021","2","29","59","Draft","1610612751","Brooklyn","Nets","BKN","Florida State","College/University","1"
