"PERSON_ID","PLAYER_NAME","SEASON","ROUND_NUMBER","ROUND_PICK","OVERALL_PICK","DRAFT_TYPE","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","ORGANIZATION","ORGANIZATION_TYPE","PLAYER_PROFILE_FLAG"
"200793","Dee Brown","2006","2","16","46","Draft","1610612762","Utah","Jazz","UTA","Illinois","College/University","1"
"201186","Stephane Lasme","2007","2","16","46","Draft","1610612744","Golden State","Warriors","GSW","Massachusetts","College/University","1"
"201610","Trent Plaisted","2008","2","16","46","Draft","1610612760","Oklahoma City","Thunder","OKC","Brigham Young","College/University","1"
"201980","Danny Green","2009","2","16","46","Draft","1610612739","Cleveland","Cavaliers","CLE","North Carolina","College/University","1"
"202371","Gani Lawal","2010","2","16","46","Draft","1610612756","Phoenix","Suns","PHX","Georgia Tech","College/University","1"
"202726","Andrew Goudelock","2011","2","16","46","Draft","1610612747","Los Angeles","Lakers","LAL","College of Charleston","College/University","1"
"203121","Darius Miller","2012","2","16","46","Draft","1610612740","New Orleans","Hornets","NOH","Kentucky","College/University","1"
"203475","Erick Green","2013","2","16","46","Draft","1610612762","Utah","Jazz","UTA","Virginia Tech","College/University","1"
"203903","Jordan Clarkson","2014","2","16","46","Draft","1610612764","Washington","Wizards","WAS","Missouri","College/University","1"
"1626181","Norman Powell","2015","2","16","46","Draft","1610612749","Milwaukee","Bucks","MIL","California-Los Angeles","College/University","1"
"1627773","AJ Hammons","2016","2","16","46","Draft","1610612742","Dallas","Mavericks","DAL","Purdue","College/University","1"
"1628425","Sterling Brown","2017","2","16","46","Draft","1610612755","Philadelphia","76ers","PHI","Southern Methodist","College/University","1"
"1629001","De'Anthony Melton","2018","2","16","46","Draft","1610612745","Houston","Rockets","HOU","Southern California","College/University","1"
"1629659","Talen Horton-Tucker","2019","2","16","46","Draft","1610612753","Orlando","Magic","ORL","Iowa State","College/University","1"
"1629604","CJ Elleby","2020","2","16","46","Draft","1610612757","Portland","Trail Blazers","POR","Washington State","College/University","1"
"1630625","Dalano Banton","2021","2","16","46","Draft","1610612761","Toronto","Raptors","TOR","Nebraska","College/University","1"
"1631130","Ismael Kamagate","2022","2","16","46","Draft","1610612765","Detroit","Pistons","DET","Paris (France)","Other Team/Club","0"
"1641754","Seth Lundy","2023","2","16","46","Draft","1610612737","Atlanta","Hawks","ATL","Penn State","College/University","1"
