"PERSON_ID","PLAYER_NAME","SEASON","ROUND_NUMBER","ROUND_PICK","OVERALL_PICK","DRAFT_TYPE","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","ORGANIZATION","ORGANIZATION_TYPE","PLAYER_PROFILE_FLAG"
"200768","Kyle Lowry","2006","1","24","24","Draft","1610612763","Memphis","Grizzlies","MEM","Villanova","College/University","1"
"201164","Rudy Fernandez","2007","1","24","24","Draft","1610612756","Phoenix","Suns","PHX","Joventut Badalona (Spain)","Other Team/Club","1"
"201586","Serge Ibaka","2008","1","24","24","Draft","1610612760","Oklahoma City","Thunder","OKC","CB L'Hospitalet (Spain)","Other Team/Club","1"
"201957","Byron Mullens","2009","1","24","24","Draft","1610612742","Dallas","Mavericks","DAL","Ohio State","College/University","1"
"202345","Damion James","2010","1","24","24","Draft","1610612737","Atlanta","Hawks","ATL","Texas","College/University","1"
"202704","Reggie Jackson","2011","1","24","24","Draft","1610612760","Oklahoma City","Thunder","OKC","Boston College","College/University","1"
"203099","Jared Cunningham","2012","1","24","24","Draft","1610612739","Cleveland","Cavaliers","CLE","Oregon State","College/University","1"
"203501","Tim Hardaway Jr.","2013","1","24","24","Draft","1610612752","New York","Knicks","NYK","Michigan","College/University","1"
"203894","Shabazz Napier","2014","1","24","24","Draft","1610612766","Charlotte","Hornets","CHA","Connecticut","College/University","1"
"1626145","Tyus Jones","2015","1","24","24","Draft","1610612739","Cleveland","Cavaliers","CLE","Duke","College/University","1"
"1627789","Timothe Luwawu-Cabarrot","2016","1","24","24","Draft","1610612755","Philadelphia","76ers","PHI","KK Mega Vizura","Other Team/Club","1"
"1628399","Tyler Lydon","2017","1","24","24","Draft","1610612762","Utah","Jazz","UTA","Syracuse","College/University","1"
"1629014","Anfernee Simons","2018","1","24","24","Draft","1610612757","Portland","Trail Blazers","POR","IMG Academy","High School","1"
"1629660","Ty Jerome","2019","1","24","24","Draft","1610612755","Philadelphia","76ers","PHI","Virginia","College/University","1"
"1630181","R.J. Hampton","2020","1","24","24","Draft","1610612749","Milwaukee","Bucks","MIL","Breakers (New Zealand)","Other Team/Club","1"
"1630528","Josh Christopher","2021","1","24","24","Draft","1610612745","Houston","Rockets","HOU","Arizona State","College/University","1"
"1630699","MarJon Beauchamp","2022","1","24","24","Draft","1610612749","Milwaukee","Bucks","MIL","Ignite (G League)","Other Team/Club","1"
"1641765","Olivier-Maxence Prosper","2023","1","24","24","Draft","1610612758","Sacramento","Kings","SAC","Marquette","College/University","1"
